Suggest_Method,n,Iteration,Repeat,I,H,C,P,Highest_Observed_Fluorescence
Random,3,1,1,I5,H5,C1,P1,479
Random,3,1,1,I2,H2,C1,P1,60221
Random,3,1,1,I4,H1,C2,P2,1332
Random,3,2,1,I2,H3,C3,P3,840
Random,3,2,1,I5,H3,C2,P3,4960
Random,3,2,1,I1,H4,C1,P1,182961
Random,3,3,1,I5,H2,C1,P3,13334
Random,3,3,1,I5,H3,C4,P3,125959
Random,3,3,1,I1,H4,C4,P3,10325
Random,3,4,1,I4,H2,C3,P2,198
Random,3,4,1,I3,H3,C1,P4,52156
Random,3,4,1,I5,H2,C5,P4,368
Random,3,5,1,I4,H2,C3,P2,198
Random,3,5,1,I2,H4,C3,P4,12380
Random,3,5,1,I5,H3,C1,P1,3984
Random,3,6,1,I3,H3,C3,P3,47774
Random,3,6,1,I2,H3,C2,P4,397
Random,3,6,1,I1,H5,C2,P4,545
Random,3,7,1,I1,H3,C4,P1,3401
Random,3,7,1,I5,H4,C4,P1,806841
Random,3,7,1,I4,H5,C1,P3,7614
Random,3,8,1,I2,H2,C2,P3,443
Random,3,8,1,I5,H2,C3,P2,740
Random,3,8,1,I3,H1,C5,P2,11260
Random,3,9,1,I4,H2,C2,P1,1222
Random,3,9,1,I4,H3,C4,P1,452
Random,3,9,1,I1,H2,C3,P3,4151
Random,3,10,1,I3,H2,C1,P2,2505
Random,3,10,1,I2,H4,C3,P2,84917
Random,3,10,1,I1,H4,C2,P4,53404
Random,3,11,1,I5,H4,C1,P2,197486
Random,3,11,1,I1,H5,C4,P2,1189738
Random,3,11,1,I4,H4,C2,P4,31394
Random,3,12,1,I4,H3,C5,P4,307
Random,3,12,1,I1,H5,C2,P1,3260
Random,3,12,1,I3,H5,C3,P1,46
Random,3,13,1,I4,H4,C5,P4,2228
Random,3,13,1,I4,H1,C2,P4,1995
Random,3,13,1,I5,H4,C3,P3,314
Random,3,14,1,I2,H3,C1,P3,5224
Random,3,14,1,I2,H5,C4,P1,44
Random,3,14,1,I1,H4,C1,P2,1171921
Random,3,15,1,I2,H3,C3,P1,259
Random,3,15,1,I1,H1,C1,P2,3689
Random,3,15,1,I1,H3,C2,P1,3254
Random,3,16,1,I3,H3,C2,P1,1764
Random,3,16,1,I2,H1,C3,P1,11
Random,3,16,1,I4,H5,C5,P1,139
Random,3,17,1,I2,H3,C4,P2,8619
Random,3,17,1,I3,H4,C3,P3,2399
Random,3,17,1,I2,H3,C4,P3,525213
Random,3,18,1,I3,H4,C1,P2,5963
Random,3,18,1,I1,H5,C3,P4,423
Random,3,18,1,I5,H5,C3,P1,140
Random,3,19,1,I4,H5,C4,P3,828
Random,3,19,1,I2,H5,C4,P2,596857
Random,3,19,1,I5,H2,C4,P4,77495
Random,3,20,1,I2,H3,C5,P4,2759
Random,3,20,1,I5,H5,C2,P3,33831
Random,3,20,1,I1,H3,C2,P3,444
Random,3,21,1,I1,H2,C1,P1,556
Random,3,21,1,I3,H4,C3,P3,2399
Random,3,21,1,I4,H5,C4,P3,828
Random,3,22,1,I4,H4,C5,P1,541
Random,3,22,1,I3,H3,C2,P2,114
Random,3,22,1,I4,H3,C3,P3,22614
Random,3,23,1,I5,H1,C4,P2,1451
Random,3,23,1,I4,H1,C4,P3,18519
Random,3,23,1,I4,H4,C2,P3,7197
